Month,Year,PRODUCTS,TRADE,"Quantity (000 Metric Tonnes)","Value in Rupees (Crore)","Value in Dollars (Million US dollar)",date_updated
June,2022,Naphtha,Import,2.49,13.87,1.78,"2024-02-21 04:02:12"
June,2022,ATF,Import,,,,"2024-02-21 04:02:12"
June,2022,HSD,Import,114.66,1530.43,196.16,"2024-02-21 04:02:12"
June,2022,"LOBS/ Lube oil",Import,180.55,1579.93,202.37,"2024-02-21 04:02:12"
June,2022,"Fuel Oil",Import,600.69,3067.65,395.89,"2024-02-21 04:02:12"
June,2022,Bitumen,Import,210.36,804.35,103.02,"2024-02-21 04:02:12"
June,2022,Petcoke,Import,544.26,1461.59,187.20,"2024-02-21 04:02:12"
June,2022,Others&,Import,95.14,765.33,98.03,"2024-02-21 04:02:12"
June,2022,"PRODUCT IMPORT*",Import,3128.06,18464.36,2363.35,"2024-02-21 04:02:12"
June,2022,"TOTAL IMPORT",Import,22337.71,140362.00,17960.31,"2024-02-21 04:02:12"
June,2022,LPG,Export,50.08,413.14,52.95,"2024-02-21 04:02:12"
June,2022,MS!,Export,1162.67,12351.79,1580.23,"2024-02-21 04:02:12"
June,2022,Naphtha$,Export,815.09,5154.59,660.99,"2024-02-21 04:02:12"
June,2022,ATF#,Export,590.80,6051.49,774.35,"2024-02-21 04:02:12"
June,2022,SKO,Export,1.26,12.29,1.58,"2024-02-21 04:02:12"
June,2022,HSD,Export,2456.21,24876.92,3184.06,"2024-02-21 04:02:12"
June,2022,LDO,Export,0.09,0.87,0.11,"2024-02-21 04:02:12"
June,2022,"LOBS/ Lube Oil",Export,1.06,16.67,2.12,"2024-02-21 04:02:12"
June,2022,"Fuel Oil",Export,126.83,612.44,77.11,"2024-02-21 04:02:12"
June,2022,Bitumen,Export,1.06,5.67,0.72,"2024-02-21 04:02:12"
June,2022,"Petcoke / CBFS",Export,35.50,129.88,16.62,"2024-02-21 04:02:12"
June,2022,Others%,Export,267.11,1907.09,243.83,"2024-02-21 04:02:12"
June,2022,"TOTAL  PRODUCT EXPORT",Export,5507.76,51532.84,6594.67,"2024-02-21 04:02:12"
June,2022,"NET IMPORT",Export,16829.96,88829.16,11365.64,"2024-02-21 04:02:12"
July,2022,"CRUDE OIL",Import,20624.25,128755.47,16264.64,"2024-02-21 04:02:12"
July,2022,LPG,Import,1417.22,8397.37,1056.05,"2024-02-21 04:02:12"
July,2022,MS,Import,62.85,619.84,78.02,"2024-02-21 04:02:12"
July,2022,Naphtha,Import,144.88,924.01,116.89,"2024-02-21 04:02:12"
July,2022,ATF,Import,,,,"2024-02-21 04:02:12"
July,2022,HSD,Import,138.78,1432.44,180.52,"2024-02-21 04:02:12"
July,2022,"LOBS/ Lube oil",Import,221.74,2086.71,262.15,"2024-02-21 04:02:12"
July,2022,"Fuel Oil",Import,749.27,3545.67,451.63,"2024-02-21 04:02:12"
July,2022,Bitumen,Import,119.68,451.79,56.76,"2024-02-21 04:02:12"
July,2022,Petcoke,Import,793.23,1787.10,224.51,"2024-02-21 04:02:12"
July,2022,Others&,Import,84.38,618.97,77.76,"2024-02-21 04:02:12"
July,2022,"PRODUCT IMPORT*",Import,3732.03,19863.89,2504.27,"2024-02-21 04:02:12"
July,2022,"TOTAL IMPORT",Import,24356.29,148619.36,18768.91,"2024-02-21 04:02:12"
